Gender,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,ApprovalStatus
Female,18,468.06,Yes,Yes,PhD,Black,0,No,Yes,706,Yes,US,13124,162226.86,Approved
Male,56,0,No,No,Graduate,Asian,0,Yes,No,765,Yes,US,13099,87502.89,Approved
Male,26,11239.93,Yes,No,High School,Hispanic,3.5,Yes,Yes,404,Yes,US,12476,37466.44,Denied
Male,70,8613.54,No,Yes,High School,White,0,Yes,Yes,661,Yes,US,12173,31031.05,Denied
Female,38,10926.79,No,No,High School,Hispanic,14.8,No,Yes,349,Yes,US,11911,36422.64,Denied
Female,63,2034,Yes,No,High School,Asian,12.7,No,Yes,825,Yes,US,11185,199595.24,Approved
Male,70,12512.64,Yes,No,College,White,0,No,Yes,808,Yes,US,11032,62563.19,Approved
Male,44,6140.92,No,Yes,Graduate,Black,26,No,Yes,761,Yes,US,11022,95281.58,Approved
Male,66,588.63,Yes,Yes,,Black,0,No,Yes,718,Yes,US,10373,185628.76,Approved
Female,66,8206.5,Yes,Yes,College,White,45,No,Yes,754,Yes,,10256,41032.48,Denied
Male,62,0,Yes,No,High School,Asian,0,No,Yes,659,Yes,US,,20195.45,Approved
Male,73,6190.57,Yes,Yes,High School,Other,14.6,No,Yes,697,Yes,US,,20635.23,Denied
Male,58,6192.54,Yes,No,High School,Other,22,No,Yes,450,Yes,US,,20641.81,Denied
Female,37,0,Yes,No,High School,Other,0,No,Yes,463,Yes,US,,40000,Denied
Female,46,7579.56,Yes,Yes,High School,Other,0,No,Yes,475,Yes,US,,31000,Denied
Male,69,6889.62,Yes,Yes,High School,Asian,3,No,Yes,787,No,US,,34448.11,Denied
Male,67,14997.22,No,No,College,Asian,0,No,Yes,300,Yes,US,,49990.74,Denied
Male,34,0,No,No,College,White,0.5,No,Yes,458,No,US,,65892.41,Denied
Female,56,9212.24,No,No,College,Other,6.3,No,Yes,689,Yes,US,,68218.58,Approved
Male,47,20835.78,No,Yes,College,Black,0,Yes,Yes,410,No,US,,69452.59,Denied
Male,61,21962.2,No,No,College,Black,23.8,No,Yes,505,Yes,US,,73207.34,Denied
Female,71,5120,No,No,College,Hispanic,42.2,No,Yes,700,Yes,US,,79968.4,Approved
Female,37,17078.9,Yes,Yes,Graduate,White,13.5,No,Yes,791,Yes,US,,85394.51,Approved
Female,56,10898.32,No,Yes,College,Asian,11.9,No,Yes,694,Yes,US,,97405.52,Approved
Male,37,31348.49,No,Yes,Graduate,Black,0,No,Yes,735,No,US,,104494.96,Approved
Female,27,35546.16,Yes,Yes,Graduate,Asian,0,Yes,Yes,666,Yes,US,,118487.19,Denied
Male,22,24437.97,No,No,PhD,White,1.2,No,Yes,810,Yes,US,,122189.86,Approved
Male,52,1131,No,Yes,PhD,Other,0,No,Yes,778,Yes,US,,174424.28,Approved
Female,18,3742.75,No,No,PhD,Black,0,No,Yes,815,Yes,US,,188713.76,Approved
